VER,EDATE,BIRD,ADATE,STIMEU,STIMEQ,DUR,STIMEL,ORBIT,NS,LAT,LATQ,EW,LON,LONQ,ALT,ATYPE,ADIAG,ACOMMENT,SVE,SPIN
5,6/17/1988,@PN0303,2/12/1985,2355,0,0,1603,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,12/11/1986,@PN0303,2/13/1985,0205,0,0,1813,G,N,0,0,W,118,0,35784,PC,ESD,SPIN ENCODER 2 MODE SWITCH,0,
5,6/17/1988,@PN0303,2/14/1985,0405,0,0,2013,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,2/14/1985,2236,0,0,1444,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,2/17/1985,2041,0,0,1249,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,2/18/1985,1227,0,0,0435,G,N,0,0,W,118,0,35784,PF,UNK,APM 1 Stalled,0,
5,6/17/1988,@PN0303,2/27/1985,1249,0,0,0457,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,2/28/1985,0007,0,0,1615,G,N,0,0,W,118,0,35784,PF,UNK,APM 1 Stalled,0,
5,6/17/1988,@PN0303,2/28/1985,1813,0,0,1021,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,3/2/1985,2102,0,0,1310,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,12/11/1986,@PN0303,3/6/1985,1101,0,0,0309,G,N,0,0,W,118,0,35784,PC,ESD,ENCODER 2 SUBCOM 4 SWITCH TO DWELL,0,
5,6/17/1988,@PN0303,3/10/1985,0539,0,0,2147,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,4/3/1985,0412,0,0,2020,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,4/9/1985,0051,0,0,1659,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
