STIMEU,DUR,LAT,LON,ALT,ATYPE,SVE,AYEAR,AMONTH,ADAY
8.0,0,0,105,35784,SE,0.0,1974,1,12
1726.0,0,0,105,35784,SE,0.0,1974,1,19
705.0,0,0,85,35784,SE,0.0,1974,1,27
745.0,0,0,115,35784,SE,0.0,1974,1,30
757.0,0,0,72,35784,SE,0.0,1974,2,1
958.0,0,0,45,35784,SE,0.0,1974,2,12
936.0,0,0,33,35784,SE,0.0,1974,2,17
950.0,0,0,13,35784,SE,0.0,1974,4,7
937.0,0,0,15,35784,SE,0.0,1974,4,9
927.0,0,0,15,35784,SE,0.0,1974,4,10
1653.0,0,0,115,35784,SE,0.0,1973,12,22
121.0,0,0,115,35784,SE,0.0,1973,12,25
2224.0,0,0,115,35784,SE,0.0,1973,12,29
731.0,0,0,115,35784,SE,0.0,1974,1,3
1621.0,0,0,115,35784,SE,0.0,1974,1,11
1023.0,0,0,115,35784,SE,0.0,1974,1,26
2003.0,0,0,185,35784,SE,0.0,1974,4,25
1742.0,0,0,185,35784,SE,0.0,1974,6,27
505.0,0,0,185,35784,PC,0.0,1974,7,18
1800.0,0,0,185,35784,SE,0.0,1974,7,20
2130.0,0,0,185,35784,SE,0.0,1974,7,20
305.0,0,0,185,35784,SE,0.0,1974,7,27
1418.0,0,0,185,35784,PC,0.0,1974,8,17
1819.0,0,0,185,35784,PC,0.0,1974,8,17
1819.0,0,0,185,35784,PC,0.0,1974,8,17
1832.0,0,0,185,35784,PC,0.0,1974,8,17
1859.0,0,0,185,35784,PC,0.0,1974,8,17
1040.0,0,0,185,35784,SE,0.0,1974,8,18
1139.0,0,0,185,35784,SE,0.0,1974,8,18
1139.0,0,0,185,35784,SE,0.0,1974,8,18
1325.0,0,0,185,35784,SE,0.0,1974,8,18
1515.0,0,0,185,35784,SE,0.0,1974,8,18
1600.0,0,0,185,35784,PC,0.0,1974,8,18
1640.0,0,0,185,35784,PC,0.0,1974,8,18
1644.0,0,0,185,35784,PC,0.0,1974,8,18
532.0,0,0,185,35784,SE,0.0,1974,8,24
1102.0,0,0,185,35784,SE,0.0,1974,8,24
1830.0,0,0,185,35784,PC,0.0,1974,8,24
2106.0,0,0,185,35784,PC,0.0,1974,9,3
2256.0,0,0,185,35784,PC,0.0,1974,9,3
1330.0,0,0,185,35784,PC,0.0,1974,9,20
440.0,0,0,185,35784,SE,0.0,1974,9,23
1512.0,0,0,185,35784,PC,0.0,1974,9,26
1721.0,0,0,185,35784,PC,0.0,1974,10,1
1706.0,0,0,185,35784,SE,0.0,1974,10,2
2230.0,0,0,185,35784,SE,0.0,1974,10,7
2225.0,0,0,185,35784,SE,0.0,1974,10,11
1420.0,0,0,185,35784,SE,0.0,1974,10,12
539.0,0,0,185,35784,SE,0.0,1974,10,14
1550.0,0,0,185,35784,PC,0.0,1974,10,14
1557.0,0,0,185,35784,PC,0.0,1974,10,14
1741.0,0,0,185,35784,SE,0.0,1974,10,14
2013.0,0,0,185,35784,PC,0.0,1974,10,14
2359.0,0,0,185,35784,PC,0.0,1974,10,18
8.0,0,0,185,35784,PC,0.0,1974,10,19
2310.0,0,0,185,35784,PC,0.0,1974,10,22
2330.0,0,0,185,35784,PC,0.0,1974,10,22
543.0,0,0,185,35784,SE,0.0,1974,10,23
415.0,0,0,185,35784,SE,0.0,1974,10,24
2114.0,0,0,185,35784,PC,0.0,1974,11,3
1140.0,0,0,185,35784,PC,0.0,1974,11,4
1508.0,0,0,185,35784,PC,0.0,1974,11,4
810.0,0,0,185,35784,PC,0.0,1974,11,8
1015.0,0,0,185,35784,PC,0.0,1974,11,8
510.0,0,0,185,35784,PC,0.0,1974,11,9
655.0,0,0,185,35784,PC,0.0,1974,11,9
1756.0,0,0,185,35784,PC,0.0,1974,11,10
2005.0,0,0,185,35784,PC,0.0,1974,11,10
1219.0,0,0,185,35784,SE,0.0,1974,11,16
1645.0,0,0,185,35784,PC,0.0,1974,11,17
1927.0,0,0,185,35784,PC,0.0,1974,11,17
25.0,0,0,185,35784,SE,0.0,1974,11,18
1030.0,0,0,185,35784,SE,0.0,1974,11,20
1003.0,0,0,185,35784,PC,0.0,1974,11,22
1240.0,0,0,185,35784,PC,0.0,1974,11,22
1935.0,0,0,185,35784,SE,0.0,1974,11,24
2201.0,0,0,185,35784,SE,0.0,1974,11,25
1701.0,0,0,185,35784,PC,0.0,1974,11,27
1943.0,0,0,185,35784,PC,0.0,1974,11,27
52.0,0,0,185,35784,PC,0.0,1974,12,1
512.0,0,0,185,35784,PC,0.0,1974,12,1
8.0,0,0,185,35784,PC,0.0,1974,12,10
125.0,0,0,185,35784,PC,0.0,1974,12,10
305.0,0,0,185,35784,PC,0.0,1974,12,10
652.0,0,0,185,35784,SE,0.0,1974,12,14
1909.0,0,0,185,35784,PC,0.0,1974,12,15
355.0,0,0,185,35784,SE,0.0,1975,1,6
1459.0,0,0,185,35784,SE,0.0,1975,3,14
